Prezydent Miasta Gdyni,2262
Starosta Powiatu Słupskiego,2212
Prezydent Miasta Dąbrowa Górnicza,2465
Prezydent Miasta Chełm,662
Starosta Drawski,3203
Starosta Skarżyski,2610
Starosta Łęczycki,1004
Starosta Powiatu Lubelskiego,609
Starosta Lidzbarski,2809
Starosta Powiatu Opolskiego,612
Starosta Powiatu Aleksandrowskiego,401
Starosta Tatrzański,1217
Starosta Powiatu Kędzierzyńsko-Kozielskiego,1603
Starosta Lwówecki,212
Starosta Stargardzki,3214
Starosta Białogardzki,3201
Starosta Sandomierski,2609
Starosta Koszaliński,3209
Starosta Kolski,3009
Prezydent Miasta Świnoujście,3263
Starosta Kamiennogórski,207
Starosta Powiatu Legionowskiego,1408
Starosta Pyrzycki,3212
Starosta Powiatu Oświęcimskiego,1213
Starosta Warszawski Zachodni,1432
Prezydent Miasta Szczecin,3262
Starosta Bolesławiecki,201
Starosta Powiatu Myszkowskiego,2409
Starosta Wołowski,222
Starosta Strzelecko-Drezdenecki,806
Starosta Żagański,810
Prezydent Miasta Jastrzębie-Zdrój,2467
Starosta Leszczyński,3013
Starosta Gorzowski,801
Starosta Choszczeński,3202
Prezydent Miasta Radomia,1463
Starosta Ostrzeszowski,3018
Starosta Ostrowski,3017
Starosta Kołobrzeski,3208
Starosta Łomżyński,2007
Starosta Powiatu Krasnostawskiego,606
Starosta Międzychodzki,3014
Prezydent Miasta Łodzi,1061
Starosta Złotoryjski,226
Starosta Powiatu Gostynińskiego,1404
Starosta Rawicki,3022
Starosta Tarnogórski,2413
Prezydent Miasta Konina,3062
Prezydent Miasta Tarnobrzega,1864
Starosta Koniński,3010
Starosta Powiatu Krotoszyńskiego,3012
Starosta Powiatu Zamojskiego,620
Starosta Powiatu Kaliskiego,3007
Starosta Wolsztyński,3029
Starosta Sierpecki,1427
Starosta Sochaczewski,1428
Starosta Tczewski,2214
Starosta Powiatu Słupeckiego,3023
Prezydent Miasta Zabrze,2478
Prezydent Miasta Gliwice,2466
Starosta Powiatu Szamotulskiego,3024
Starosta Janowski,605
Starosta Powiatu Dębickiego,1803
Starosta Powiatu Kieleckiego,2604
Starosta Śremski,3026
Starosta Powiatu Tureckiego,3027
Starosta Grodziski,3005
Starosta Nowotomyski,3015
Starosta Legnicki,209
Prezydent Miasta Rybnika,2473
Starosta Staszowski,2612
Starosta Powiatu Żyrardowskiego,1438
Prezydent Miasta Koszalina,3261
Prezydent Olsztyna,2862
Starosta Powiatu Chojnickiego,2202
Prezydent Miasta Leszna,3063
Prezydent Miasta Siemianowice Śląskie,2474
Starosta Powiatu Nowodworskiego,1414
Starosta Płoński,1420
Starosta Powiatu Przasnyskiego,1422
Starosta Łowicki,1005
Starosta Powiatu Średzkiego,218
Starosta Powiatu Wyszkowskiego,1435
Starosta Powiatu Grodziskiego,1405
Starosta Powiatu Leskiego,1821
Starosta Głogowski,203
Prezydent Miasta Skierniewice,1063
Starosta Powiatu Opoczyńskiego,1007
Starosta Dzierżoniowski,202
Starosta Złotowski,3031
Starosta Powiatu Nowodworskiego,2210
Starosta Wodzisławski,2415
Starosta Powiatu Sejneńskiego,2009
Prezydent Miasta Siedlce,1464
Starosta Pułtuski,1424
Starosta Powiatu Radomskiego,1425
Starosta Powiatu Kępińskiego,3008
Starosta Wągrowiecki,3028
Starosta Piski,2816
Starosta Powiatu Kłodzkiego,208
Starosta Myśliborski,3210
Starosta Powiatu Lubińskiego,211
Starosta Jaworski,205
Starosta Ostrowski,1416
Prezydent Miasta Sopot,2264
Starosta Obornicki,3016
Starosta Gostyński,3004
Starosta Powiatu Gorlickiego,1205
Starosta Powiatu Oleśnickiego,214
Starosta Wejherowski,2215
Starosta Policki,3211
Starosta Kraśnicki,607
Starosta Powiatu Świdwińskiego,3216
Starosta Lipski,1409
Starosta Ząbkowicki,224
Prezydent Miasta Mysłowice,2470
Starosta Powiatu Gryfińskiego,3206
Prezydent Miasta Częstochowy,2464
Starosta Makowski,1411
Starosta Jędrzejowski,2602
Starosta Kolneński,2006
Starosta Wałbrzyski,221
Starosta Powiatu Wysokomazowieckiego,2013
Starosta Powiatu Zwoleńskiego,1436
Starosta Chełmski,603
Starosta Limanowski,1207
Starosta Kłobucki,2406
Prezydent Miasta Gdańska,2261
Starosta Otwocki,1417
Starosta Kamieński,3207
Prezydent Miasta Gorzowa Wielkopolskiego,861
STAROSTA PRZYSUSKI,1423
Prezydent Miasta Płocka,1462
Starosta Bielski w Bielsku Podlaskim,2003
Starosta Piaseczyński,1418
Prezydent Miasta Krakowa,1261
Starosta Powiatu Biłgorajskiego,602
Prezydent Miasta Zawiercie,241602
